approach,scenario,edge_servers,functions,round,user_type,latency_mean,latency_std,utilisation_mean,utilisation_std,mec_systems,prediction,iterations,ants
aco,2,100,1,1,Aggregate,56.39316757176106,12.014442880859098,0.03363019729049693,0.01762596191039011,5,NONE,100.0,10.0
aco,2,100,1,1,ambulanceUser,46.561525,15.720538235366352,0.04189536800557443,0.02236090626125552,5,NONE,100.0,10.0
aco,2,100,1,1,genericUser,59.25882000000001,8.927723737859782,0.032278221962120365,0.017128751268474157,5,NONE,100.0,10.0
aco,2,100,1,1,operaUser,37.87671140939597,12.918626874199957,0.04139238542882662,0.017337593876138566,5,NONE,100.0,10.0
aco,2,100,1,2,Aggregate,56.48891117917306,11.932047458996815,0.041804479462503076,0.020505767218560966,5,NONE,100.0,10.0
aco,2,100,1,2,ambulanceUser,49.90576470588234,15.306054519161018,0.04549894627811388,0.02199663593096393,5,NONE,100.0,10.0
aco,2,100,1,2,genericUser,59.25677636363636,8.926456832593445,0.03994786947611613,0.01988807395970208,5,NONE,100.0,10.0
aco,2,100,1,2,operaUser,39.01206451612904,13.611786713296613,0.05376482254269335,0.020256191266360225,5,NONE,100.0,10.0
aco,2,100,1,3,Aggregate,57.34335488837568,11.163978719942067,0.03753575309394323,0.020141402703299227,5,NONE,100.0,10.0
aco,2,100,1,3,ambulanceUser,47.97875,15.641631081493223,0.04322118830277707,0.021836244595961608,5,NONE,100.0,10.0
aco,2,100,1,3,genericUser,59.25854181818181,8.92722131825114,0.035897752783790225,0.019704181539492355,5,NONE,100.0,10.0
aco,2,100,1,3,operaUser,46.41004516129031,15.55224361662761,0.04754634142929564,0.019650486081151147,5,NONE,100.0,10.0
aco,2,100,1,4,Aggregate,56.66640368380661,11.781409996999756,0.040930073947192246,0.020038349232319504,5,NONE,100.0,10.0
aco,2,100,1,4,ambulanceUser,49.13939583333333,15.465296156975494,0.04736839128925078,0.02215816511925676,5,NONE,100.0,10.0
aco,2,100,1,4,genericUser,59.25704454545454,8.92642671238145,0.039170344167647766,0.0194771438802265,5,NONE,100.0,10.0
aco,2,100,1,4,operaUser,40.61215483870968,14.382838979344081,0.05142467733480589,0.01979439751637229,5,NONE,100.0,10.0
aco,2,100,1,5,Aggregate,56.53429615384615,11.894225574848889,0.04808587420581593,0.022027390739340073,5,NONE,100.0,10.0
