timestamp,prId,sensorId,userType,utilization,latency
600.00,1,19,immobileUser,0.038800,0.154040
600.00,1,10,immobileUser,0.053068,0.154037
600.00,1,16,immobileUser,0.044540,0.154041
600.00,1,22,immobileUser,0.039930,0.154034
600.00,2,19,immobileUser,0.048352,0.154039
600.00,2,22,immobileUser,0.041233,0.154037
900.00,2,16,immobileUser,0.038800,0.154040
900.00,3,16,immobileUser,0.048352,0.154039
900.00,4,16,immobileUser,0.039930,0.154034
900.00,3,19,immobileUser,0.041233,0.154037
900.00,3,22,immobileUser,0.040803,0.154042
900.00,1,13,immobileUser,0.044540,0.154041
900.00,2,10,immobileUser,0.053068,0.154037
1200.00,3,10,immobileUser,0.053068,0.154037
1200.00,2,13,immobileUser,0.044540,0.154041
1200.00,4,19,immobileUser,0.039930,0.154034
1200.00,4,22,immobileUser,0.041233,0.154037
1200.00,5,16,immobileUser,0.038800,0.154040
1200.00,6,16,immobileUser,0.048352,0.154039
1500.00,5,19,immobileUser,0.038800,0.154040
1500.00,7,16,immobileUser,0.044540,0.154041
1500.00,5,22,immobileUser,0.039930,0.154034
1500.00,6,19,immobileUser,0.048352,0.154039
1500.00,4,10,immobileUser,0.053068,0.154037
1800.00,3,13,immobileUser,0.038800,0.154040
1800.00,7,19,immobileUser,0.039930,0.154034
1800.00,5,10,immobileUser,0.053068,0.154037
1800.00,6,10,immobileUser,0.044540,0.154041
1800.00,8,16,immobileUser,0.048352,0.154039
2100.00,9,16,immobileUser,0.044540,0.154041
2100.00,10,16,immobileUser,0.038800,0.154040
2100.00,8,19,immobileUser,0.041233,0.154037
2100.00,4,13,immobileUser,0.053068,0.154037
2100.00,11,16,immobileUser,0.048352,0.154039
2100.00,12,16,immobileUser,0.039930,0.154034
2400.00,7,10,immobileUser,0.053068,0.154037
2400.00,13,16,immobileUser,0.044540,0.154041
2400.00,14,16,immobileUser,0.038800,0.154040
2400.00,9,19,immobileUser,0.048352,0.154039
2400.00,6,22,immobileUser,0.039930,0.154034
2700.00,7,22,immobileUser,0.038800,0.154040
2700.00,8,22,immobileUser,0.048352,0.154039
2700.00,15,16,immobileUser,0.053068,0.154037
2700.00,16,16,immobileUser,0.044540,0.154041
3000.00,5,13,immobileUser,0.053068,0.154037
3000.00,10,19,immobileUser,0.044540,0.154041
3300.00,11,19,immobileUser,0.053068,0.154037
3300.00,12,19,immobileUser,0.044540,0.154041
3300.00,13,19,immobileUser,0.038800,0.154040
3300.00,14,19,immobileUser,0.048352,0.154039
3600.00,8,10,immobileUser,0.053068,0.154037
3600.00,17,16,immobileUser,0.038800,0.154040
3600.00,6,13,immobileUser,0.044540,0.154041
3600.00,15,19,immobileUser,0.048352,0.154039
3600.00,9,22,immobileUser,0.039930,0.154034
3900.00,9,10,immobileUser,0.053068,0.154037
3900.00,7,13,immobileUser,0.048352,0.154039
3900.00,10,10,immobileUser,0.044540,0.154041
3900.00,11,10,immobileUser,0.038800,0.154040
3900.00,16,19,immobileUser,0.039930,0.154034
4200.00,18,16,immobileUser,0.038800,0.154040
4200.00,10,22,immobileUser,0.040803,0.154042
4200.00,12,10,immobileUser,0.053068,0.154037
4200.00,13,10,immobileUser,0.044540,0.154041
4200.00,19,16,immobileUser,0.048352,0.154039
4200.00,20,16,immobileUser,0.039930,0.154034
4200.00,21,16,immobileUser,0.041233,0.154037
4200.00,11,22,immobileUser,0.048161,0.154041
4500.00,14,10,immobileUser,0.053068,0.154037
4500.00,22,16,immobileUser,0.039930,0.154034
4500.00,15,10,immobileUser,0.044540,0.154041
4500.00,17,19,immobileUser,0.048161,0.154041
4500.00,8,13,immobileUser,0.038800,0.154040
4500.00,23,16,immobileUser,0.041233,0.154037
4500.00,9,13,immobileUser,0.048352,0.154039
4500.00,12,22,immobileUser,0.046674,0.154036
4500.00,24,16,immobileUser,0.040803,0.154042
